Number_of_songs,Singer,ArtistId
114,Led Zeppelin,22
112,U2,150
92,Deep Purple,58
81,Iron Maiden,90
54,Pearl Jam,118
52,Van Halen,152
45,Queen,51
41,The Rolling Stones,142
40,Creedence Clearwater Revival,76
35,Kiss,52
